Text,Tag,text,tag,d,Col0,Col1
/,O,,,,,
IFSC,O,,,,,
Code,O,,,,,
:,O,,,,,
IDIBOOONO12,O,,,,,
Total,O,,,,,
GST,O,,,,,
:,O,,,,,
Six,O,,,,,
Thousand,O,,,,,
One,O,,,,,
Hundred,O,,,,,
Twenty,O,,,,,
Only,O,,,,,
Taxable,O,,,,,
Amount,O,,,,,
34000,O,,,,,
3060,O,,,,,
3060,O,,,,,
CGST,O,,,,,
SGST,O,,,,,
Bill,O,,,,,
Amount,O,,,,,
:,O,,,,,
Forty,O,,,,,
Thousand,O,,,,,
One,O,,,,,
Hundred,O,,,,,
Twenty,O,,,,,
Only,O,,,,,
HSN,O,,,,,
Summary,O,,,,,
:,O,,,,,
Grand,B-GT_AMTL,,,,,
Total,I-GT_AMTL,,,,,
"40,120.00",B-GT_AMT,,,,,
Note,O,,,,,
:,O,,,,,
-,O,,,,,
HSN,O,,,,,
Code,O,,,,,
Per,O,,,,,
%,O,,,,,
Taxable,O,,,,,
Value,O,,,,,
CGST,O,,,,,
Amount,O,,,,,
3060,O,,,,,
4418,O,,,,,
SGST,O,,,,,
Amount,O,,,,,
3060,O,,,,,
18,O,,,,,
%,O,,,,,
34000,O,,,,,
For,O,,,,,
AVIVA,O,,,,,
DOORS,O,,,,,
DO,O,,,,,
SORS,O,,,,,
Terms,O,,,,,
&,O,,,,,
Condition,O,,,,,
:,O,,,,,
1,O,,,,,
.,O,,,,,
Goods,O,,,,,
once,O,,,,,
sold,O,,,,,
will,O,,,,,
not,O,,,,,
be,O,,,,,
taken,O,,,,,
back,O,,,,,
.,O,,,,,
2,O,,,,,
.,O,,,,,
Interest,O,,,,,
@18,O,,,,,
%,O,,,,,
p.a,O,,,,,
.,O,,,,,
will,O,,,,,
be,O,,,,,
charged,O,,,,,
if,O,,,,,
payment,O,,,,,
is,O,,,,,
not,O,,,,,
made,O,,,,,
within,O,,,,,
due,O,,,,,
date,O,,,,,
.,O,,,,,
3,O,,,,,
.,O,,,,,
Our,O,,,,,
risk,O,,,,,
and,O,,,,,
responsibility,O,,,,,
ceases,O,,,,,
as,O,,,,,
soon,O,,,,,
as,O,,,,,
the,O,,,,,
goods,O,,,,,
leave,O,,,,,
our,O,,,,,
premises,O,,,,,
.,O,,,,,
4,O,,,,,
.,O,,,,,
"""",O,,,,,
Subject,O,,,,,
to,O,,,,,
',O,,,,,
PUNE,O,,,,,
',O,,,,,
Jurisdiction,O,,,,,
only,O,,,,,
.,O,,,,,
E.&.O.E,O,,,,,
"""",O,,,,,
.,O,,,,,
"Declaration:-""I",O,,,,,
/,O,,,,,
We,O,,,,,
here,O,,,,,
by,O,,,,,
certify,O,,,,,
that,O,,,,,
my,O,,,,,
/,O,,,,,
our,O,,,,,
registration,O,,,,,
certificate,O,,,,,
under,O,,,,,
the,O,,,,,
GST,O,,,,,
is,O,,,,,
in,O,,,,,
force,O,,,,,
on,O,,,,,
the,O,,,,,
date,O,,,,,
on,O,,,,,
which,O,,,,,
the,O,,,,,
sales,O,,,,,
of,O,,,,,
the,O,,,,,
goods,O,,,,,
specified,O,,,,,
in,O,,,,,
this,O,,,,,
Tax,O,,,,,
Invoice,O,,,,,
is,O,,,,,
made,O,,,,,
by,O,,,,,
me/,O,,,,,
us,O,,,,,
and,O,,,,,
that,O,,,,,
the,O,,,,,
transaction,O,,,,,
of,O,,,,,
sales,O,,,,,
covered,O,,,,,
by,O,,,,,
this,O,,,,,
tax,O,,,,,
invoice,O,,,,,
has,O,,,,,
been,O,,,,,
effected,O,,,,,
by,O,,,,,
me,O,,,,,
/,O,,,,,
us,O,,,,,
and,O,,,,,
it,O,,,,,
shall,O,,,,,
be,O,,,,,
accounted,O,,,,,
for,O,,,,,
in,O,,,,,
the,O,,,,,
turnover,O,,,,,
of,O,,,,,
sales,O,,,,,
while,O,,,,,
filling,O,,,,,
of,O,,,,,
return,O,,,,,
and,O,,,,,
the,O,,,,,
due,O,,,,,
tax,O,,,,,
.,O,,,,,
If,O,,,,,
any,O,,,,,
payable,O,,,,,
on,O,,,,,
the,O,,,,,
sales,O,,,,,
has,O,,,,,
been,O,,,,,
paid,O,,,,,
or,O,,,,,
choll,O,,,,,
honnid,O,,,,,
PUNE,O,,,,,
NAV,O,,,,,
WE,O,,,,,
ok,O,,,,,
GST,O,,,,,
INVOICE,O,,,,,
(,O,,,,,
ORIGINAL,O,,,,,
FOR,O,,,,,
RECIPIENT,O,,,,,
),O,,,,,
(,O,,,,,
COK,O,,,,,
M,O,,,,,
Invoice,B-INV_L,,,,,
No,I-INV_L,,,,,
.,I-INV_L,,,,,
SM/19,B-INV_NO,,,,,
-,I-INV_NO,,,,,
20/004632,I-INV_NO,,,,,
Delivery,O,,,,,
Note,O,,,,,
e,O,,,,,
-,O,,,,,
Way,O,,,,,
Bill,O,,,,,
No,O,,,,,
.,O,,,,,
Dated,B-INV_DL,,,,,
2.21145E+11,O,,,,,
07-Oct-19,B-INV_DT,,,,,
Mode,O,,,,,
/,O,,,,,
Terms,O,,,,,
of,O,,,,,
Payment,O,,,,,
Supplier,O,,,,,
's,O,,,,,
Ref,O,,,,,
.,O,,,,,
SHAH,B-SUPP_N,,,,,
MARKETING,I-SUPP_N,,,,,
Shop,O,,,,,
No.6,O,,,,,
Llyods,O,,,,,
Chamber,O,,,,,
Barne,O,,,,,
Road,O,,,,,
409,O,,,,,
Mangalwar,O,,,,,
Peth,O,,,,,
Pune,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27ADXPS3921J1ZT,B-SUPP_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Contact,O,,,,,
:,O,,,,,
20,O,,,,,
-,O,,,,,
-,O,,,,,
26052747,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
:,O,,,,,
shahmarketing4@gmail.com,O,,,,,
Buyer,O,,,,,
SIDDHARTH,B-BUY_N,,,,,
PROPERTIES,I-BUY_N,,,,,
GEETAI,O,,,,,
SANKUL,O,,,,,
2ND,O,,,,,
FLOOR,O,,,,,
PAUD,O,,,,,
ROAD,O,,,,,
NEAR,O,,,,,
RELIANCE,O,,,,,
FRESH,O,,,,,
PUNE,O,,,,,
.,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27AAZFS3607C1ZY,B-BUY_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Other,O,,,,,
Reference(s,O,,,,,
),O,,,,,
VERBAL,O,,,,,
ORDER,O,,,,,
FROM,O,,,,,
DADASAHEB,O,,,,,
Dated,O,,,,,
Buyer,O,,,,,
's,O,,,,,
Order,O,,,,,
No,O,,,,,
.,O,,,,,
Despatch,O,,,,,
Document,O,,,,,
No,O,,,,,
.,O,,,,,
Delivery,O,,,,,
Note,O,,,,,
Date,O,,,,,
Despatched,O,,,,,
through,O,,,,,
Destination,O,,,,,
Terms,O,,,,,
of,O,,,,,
Delivery,O,,,,,
KASHI,O,,,,,
KAPADI,O,,,,,
NEAR,O,,,,,
EKLAVYA,O,,,,,
COLLEGE,O,,,,,
KOTHRUD,O,,,,,
(,O,,,,,
ABHISHEK-7774076332,O,,,,,
),O,,,,,
Contact,O,,,,,
person,O,,,,,
Contact,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
:,O,,,,,
Mr.,O,,,,,
Thube,O,,,,,
/,O,,,,,
Mane,O,,,,,
:,O,,,,,
8308824752,O,,,,,
nilesh.mane@saarrthigroup.co.in,O,,,,,
SI,O,,,,,
No,O,,,,,
.,O,,,,,
Description,O,,,,,
of,O,,,,,
Goods,O,,,,,
HSN,O,,,,,
/,O,,,,,
SAC,O,,,,,
GST,O,,,,,
Rate,O,,,,,
Quantity,O,,,,,
Rate,O,,,,,
per,O,,,,,
Disc,O,,,,,
.,O,,,,,
%,O,,,,,
Amount,O,,,,,
Nos,O,,,,,
.,O,,,,,
1,O,,,,,
UPVC,O,,,,,
SCH-40,O,,,,,
PIPE,O,,,,,
2,O,,,,,
"1/2""X3MTR",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
2,O,,,,,
UPVC,O,,,,,
ELBOW,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
90-DEG,O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
3,O,,,,,
UPVC,O,,,,,
NSF,O,,,,,
BALVALVE,O,,,,,
21-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
Upvc,O,,,,,
Sch-80,O,,,,,
Pipe,O,,,,,
"2""x",O,,,,,
3mtr,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
5,O,,,,,
UPVC,O,,,,,
SCH-40,O,,,,,
PIPE,O,,,,,
"1""X3MTR",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
6,O,,,,,
Upvc,O,,,,,
R.Tee,O,,,,,
"3/4""x",O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
7,O,,,,,
UPVC,O,,,,,
R.,O,,,,,
TEE,O,,,,,
1,O,,,,,
"""",O,,,,,
X,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
8,O,,,,,
CPVC,O,,,,,
TRANS,O,,,,,
.,O,,,,,
BUSH,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
9,O,,,,,
CPVC,O,,,,,
BALL,O,,,,,
VALVE,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
10,O,,,,,
CPVC,O,,,,,
SOCKET,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
11,O,,,,,
CPVC,O,,,,,
ELBOW,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
90DEG,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
12,O,,,,,
CPVC,O,,,,,
TEE,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
13,O,,,,,
CPVC,O,,,,,
ELBOW,O,,,,,
BRASS,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
14,O,,,,,
CPVC,O,,,,,
F.T.A,O,,,,,
BRASS,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
15,O,,,,,
Gi,O,,,,,
U,O,,,,,
Bolt,O,,,,,
with,O,,,,,
Nut,O,,,,,
&,O,,,,,
Washer,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
01-Apr,O,,,,,
),O,,,,,
16,O,,,,,
Gi,O,,,,,
U,O,,,,,
Bolt,O,,,,,
with,O,,,,,
Nut,O,,,,,
&,O,,,,,
Washer,O,,,,,
1,O,,,,,
"""",O,,,,,
(,O,,,,,
01-Apr,O,,,,,
),O,,,,,
17,O,,,,,
Gi,O,,,,,
U,O,,,,,
Bolt,O,,,,,
with,O,,,,,
Nut,O,,,,,
&,O,,,,,
Washerer,O,,,,,
03-Apr,O,,,,,
"""",O,,,,,
(,O,,,,,
01-Apr,O,,,,,
),O,,,,,
18,O,,,,,
Upvc,O,,,,,
Sch-40,O,,,,,
Pipe,O,,,,,
1,O,,,,,
"1/4""X3mtr",O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
19,O,,,,,
Upvc,O,,,,,
Elbow,O,,,,,
1,O,,,,,
"""",O,,,,,
90deg,O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
20,O,,,,,
UPVC,O,,,,,
R.,O,,,,,
TEE,O,,,,,
2,O,,,,,
"1/2""X",O,,,,,
1,O,,,,,
"""",O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
21,O,,,,,
UPVC,O,,,,,
NSF,O,,,,,
BALLVALVE,O,,,,,
1,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
22,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
1,O,,,,,
"""",O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
23,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
24,O,,,,,
Upvc,O,,,,,
Bushing-,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
x,O,,,,,
2,O,,,,,
"""",O,,,,,
Sch80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
25,O,,,,,
UPVC,O,,,,,
NSF,O,,,,,
BALVALVE,O,,,,,
2,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
20,O,,,,,
pvc,O,,,,,
Sch-80,O,,,,,
Pipe,O,,,,,
"2""x",O,,,,,
3mtr,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
27,O,,,,,
UPVC,O,,,,,
TEE,O,,,,,
2,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
28,O,,,,,
UPVC,O,,,,,
ELBOW,O,,,,,
2,O,,,,,
"""",O,,,,,
90,O,,,,,
DEG,O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
3917,O,,,,,
3917,O,,,,,
8481,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
8481,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
7318,O,,,,,
7318,O,,,,,
7318,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
8481,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
8481,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
18,O,,,,,
%,O,,,,,
54,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
54,O,,,,,
Nos,O,,,,,
.,O,,,,,
-247.3,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
.,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
70,O,,,,,
Nos,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
70,O,,,,,
Nos,O,,,,,
.,O,,,,,
384.9,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
45,O,,,,,
Nos,O,,,,,
.,O,,,,,
26.7,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
45,O,,,,,
Nosa,O,,,,,
45,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
90,O,,,,,
Nos,O,,,,,
.,O,,,,,
11.3,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
90,O,,,,,
Nos,O,,,,,
.,O,,,,,
97.5,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
12.2,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
200,O,,,,,
Nos,O,,,,,
.,O,,,,,
16.2,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
200,O,,,,,
Nosa,O,,,,,
21.3,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
100,O,,,,,
Nosa,O,,,,,
72,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
50,O,,,,,
NOSN,O,,,,,
134.5,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
100,O,,,,,
Nos,O,,,,,
.,O,,,,,
4.5,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
100,O,,,,,
Nos,O,,,,,
.,O,,,,,
6,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
5,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
50,O,,,,,
Nos,O,,,,,
.,O,,,,,
7542.4,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
50,O,,,,,
Nos,O,,,,,
.,O,,,,,
34.4,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
409.2,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
379.6,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
22.6,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
152.6,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
.,O,,,,,
85.4,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
6,O,,,,,
Nos,O,,,,,
.,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
60,O,,,,,
Nos,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
20,O,,,,,
Nos,O,,,,,
.,O,,,,,
145.7,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
60,O,,,,,
Nos,O,,,,,
.,O,,,,,
105.2,O,,,,,
Nos,O,,,,,
.,O,,,,,
60,O,,,,,
of,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
30,O,,,,,
%,O,,,,,
30,O,,,,,
%,O,,,,,
480.6,O,,,,,
810,O,,,,,
406.8,O,,,,,
97.6,O,,,,,
315,O,,,,,
420,O,,,,,
70,O,,,,,
688,O,,,,,
180.8,O,,,,,
610.4,O,,,,,
341.6,O,,,,,
30,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
60,O,,,,,
%,O,,,,,
continued,O,,,,,
...,O,,,,,
Po-13661,O,,,,,
GRN,O,,,,,
:,O,,,,,
-20279,O,,,,,
SUBJECT,O,,,,,
TO,O,,,,,
PUNE,O,,,,,
JURISDICTION,O,,,,,
This,O,,,,,
is,O,,,,,
a,O,,,,,
Computer,O,,,,,
Generated,O,,,,,
Invoice,O,,,,,
Pune,O,,,,,
TAX,O,,,,,
INVOICE,O,,,,,
(,O,,,,,
ka,O,,,,,
),O,,,,,
Invoice,B-INV_L,,,,,
No,I-INV_L,,,,,
.,I-INV_L,,,,,
SM/18,B-INV_NO,,,,,
-,I-INV_NO,,,,,
19/08142,I-INV_NO,,,,,
Delivery,O,,,,,
Note,O,,,,,
Book,O,,,,,
No,O,,,,,
.,O,,,,,
Dated,B-INV_DL,,,,,
01-Feb-19,B-INV_DT,,,,,
Mode,O,,,,,
/,O,,,,,
Terms,O,,,,,
of,O,,,,,
Payment,O,,,,,
Supplier,O,,,,,
's,O,,,,,
Ref,O,,,,,
.,O,,,,,
Other,O,,,,,
Reference(s,O,,,,,
),O,,,,,
SHAH,B-SUPP_N,,,,,
MARKETING,I-SUPP_N,,,,,
(,O,,,,,
MANGALWAR,O,,,,,
PETH,O,,,,,
),O,,,,,
Shop,O,,,,,
Tros,O,,,,,
Llyods,O,,,,,
Chamber,O,,,,,
Barne,O,,,,,
Road,O,,,,,
409,O,,,,,
Mangalwar,O,,,,,
Peth,O,,,,,
Pune,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27ADXPS3921J1ZT,B-SUPP_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Contact,O,,,,,
:,O,,,,,
20,O,,,,,
-,O,,,,,
-,O,,,,,
26052747,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
:,O,,,,,
shahmarketing4@gmail.com,O,,,,,
Buyer,O,,,,,
SIDDHARTH,B-BUY_N,,,,,
PROPERTIES,I-BUY_N,,,,,
GEETAI,O,,,,,
SANKUL,O,,,,,
2ND,O,,,,,
FLOOR,O,,,,,
PAUD,O,,,,,
ROAD,O,,,,,
NEAR,O,,,,,
RELIANCE,O,,,,,
FRESH,O,,,,,
PUNE,O,,,,,
.,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27AAZFS3607C1ZY,B-BUY_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Buyer,O,,,,,
's,O,,,,,
Order,O,,,,,
No,O,,,,,
.,O,,,,,
Dated,O,,,,,
Despatch,O,,,,,
Document,O,,,,,
No,O,,,,,
.,O,,,,,
Delivery,O,,,,,
Note,O,,,,,
Date,O,,,,,
Despatched,O,,,,,
through,O,,,,,
Destination,O,,,,,
Terms,O,,,,,
of,O,,,,,
Delivery,O,,,,,
MADHUWANTI,O,,,,,
SR,O,,,,,
NO:157,O,,,,,
/,O,,,,,
A,O,,,,,
NEXT,O,,,,,
TO,O,,,,,
MRUTUNJAY,O,,,,,
MANDIR,O,,,,,
NEAR,O,,,,,
KARVESTATUE,O,,,,,
KARVE,O,,,,,
ROAD,O,,,,,
PO=12673.(777407633217030617766,O,,,,,
),O,,,,,
Contact,O,,,,,
person,O,,,,,
Contact,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
:,O,,,,,
Mr.,O,,,,,
Thube,O,,,,,
/,O,,,,,
Mane,O,,,,,
:,O,,,,,
8308824752,O,,,,,
:,O,,,,,
nilesh.mane@saarrthigroup.co.in,O,,,,,
Description,O,,,,,
of,O,,,,,
Goods,O,,,,,
HSN,O,,,,,
/,O,,,,,
SAC,O,,,,,
Quantity,O,,,,,
Rate,O,,,,,
per,O,,,,,
Disc,O,,,,,
.,O,,,,,
%,O,,,,,
Amount,O,,,,,
SI,O,,,,,
No,O,,,,,
.,O,,,,,
GST,O,,,,,
Rate,O,,,,,
1,O,,,,,
AJAY,O,,,,,
PVC,O,,,,,
R.S,O,,,,,
/,O,,,,,
Y,O,,,,,
160MM,O,,,,,
X,O,,,,,
110MM,O,,,,,
3917,O,,,,,
18,O,,,,,
%,O,,,,,
78,O,,,,,
Nos,O,,,,,
Nosa,O,,,,,
54,O,,,,,
%,O,,,,,
(,O,,,,,
-)0.14,O,,,,,
Less,O,,,,,
:,O,,,,,
Round,O,,,,,
Off,O,,,,,
SITE,O,,,,,
NAME,O,,,,,
:,O,,,,,
S.,O,,,,,
Square,O,,,,,
RECEIVED,O,,,,,
SIGN:-,O,,,,,
Boun,O,,,,,
gro,O,,,,,
DATE,O,,,,,
:,O,,,,,
218119,O,,,,,
GRN,O,,,,,
:,O,,,,,
Total,B-GT_AMTL,,,,,
78,O,,,,,
Nos,O,,,,,
.,O,,,,,
51.314.00,B-GT_AMT,,,,,
Amount,O,,,,,
Chargeable,O,,,,,
(,O,,,,,
in,O,,,,,
words,O,,,,,
),O,,,,,
E.,O,,,,,
&,O,,,,,
O.E,O,,,,,
Indian,O,,,,,
Rupees,O,,,,,
Fifty,O,,,,,
One,O,,,,,
Thousand,O,,,,,
Three,O,,,,,
Hundred,O,,,,,
Fourteen,O,,,,,
Only,O,,,,,
HSN,O,,,,,
/,O,,,,,
SAC,O,,,,,
Taxable,O,,,,,
Central,O,,,,,
Tax,O,,,,,
State,O,,,,,
Tax,O,,,,,
Total,O,,,,,
Value,O,,,,,
Rate,O,,,,,
Amount,O,,,,,
Rate,O,,,,,
Amount,O,,,,,
Tax,O,,,,,
Amount,O,,,,,
3917,O,,,,,
Tax,O,,,,,
Amount,O,,,,,
(,O,,,,,
in,O,,,,,
words,O,,,,,
),O,,,,,
:,O,,,,,
Indian,O,,,,,
Rupees,O,,,,,
Seven,O,,,,,
Thousand,O,,,,,
Eight,O,,,,,
Hundred,O,,,,,
Twenty,O,,,,,
Seven,O,,,,,
and,O,,,,,
Fifty,O,,,,,
Eight,O,,,,,
paise,O,,,,,
Only,O,,,,,
MAR,O,,,,,
Company,O,,,,,
's,O,,,,,
Bank,O,,,,,
Details,O,,,,,
Company,O,,,,,
's,O,,,,,
PAN,O,,,,,
:,O,,,,,
ADXPS3921J,O,,,,,
Bank,O,,,,,
Name,O,,,,,
:,O,,,,,
KOTAK,O,,,,,
MAHINDRA,O,,,,,
BANK,O,,,,,
Declaration,O,,,,,
A,O,,,,,
/,O,,,,,
C,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
5711312022,O,,,,,
I/,O,,,,,
We,O,,,,,
hereby,O,,,,,
certify,O,,,,,
that,O,,,,,
my,O,,,,,
/,O,,,,,
our,O,,,,,
registration,O,,,,,
certificate,O,,,,,
under,O,,,,,
the,O,,,,,
Branch,O,,,,,
&,O,,,,,
IFS,O,,,,,
Code,O,,,,,
:,O,,,,,
Khadki,O,,,,,
&,O,,,,,
KKBK0000727,O,,,,,
GST,O,,,,,
Act-2017,O,,,,,
is,O,,,,,
in,O,,,,,
force,O,,,,,
on,O,,,,,
the,O,,,,,
date,O,,,,,
on,O,,,,,
which,O,,,,,
the,O,,,,,
sale,O,,,,,
of,O,,,,,
the,O,,,,,
for,O,,,,,
SHAH,O,,,,,
MARKETING,O,,,,,
(,O,,,,,
MANGALWAR,O,,,,,
PETH,O,,,,,
),O,,,,,
goods,O,,,,,
specified,O,,,,,
in,O,,,,,
this,O,,,,,
Tax,O,,,,,
Invoice,O,,,,,
is,O,,,,,
made,O,,,,,
by,O,,,,,
melus,O,,,,,
and,O,,,,,
that,O,,,,,
the,O,,,,,
transactions,O,,,,,
of,O,,,,,
sales,O,,,,,
covered,O,,,,,
by,O,,,,,
